anio;mes;provincia;canton;producto;presentacion;tipo;precio_prom_usd;precio_prom_usd_kg
2012;Abril;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;37;0,82
2012;Abril;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;94,33;2,08
2012;Abril;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;117,75;2,6
2012;Abril;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;80;1,76
2012;Abril;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;87;1,92
2012;Abril;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;79,5;1,75
2012;Abril;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;86;1,9
2012;Abril;Manabi;Chone ;Cacao en Baba CCN 51;Quintal de 100,00 libras;Compra;53,5;1,18
2012;Abril;Manabi;Chone ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;30,5;0,67
2012;Abril;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;80,5;1,77
2012;Abril;Manabi;Chone ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;86;1,9
2012;Abril;Manabi;Flavio Alfaro ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32,75;0,72
2012;Abril;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;82,75;1,82
2012;Abril;Manabi;Flavio Alfaro ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;91,25;2,01
2012;Abril;Manabi;Portoviejo ;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;32,5;0,72
2012;Abril;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;76,5;1,69
2012;Abril;Manabi;Portoviejo ;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;82,5;1,82
2012;Mayo;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;83;1,83
2012;Mayo;Manabi;Bolivar;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;90;1,98
2012;Mayo;Manabi;Bolivar;Cacao en Baba Fino de Aroma;Quintal de 100,00 libras;Compra;37;0,82
2012;Mayo;Manabi;Bolivar;Cacao en Baba Mezclado;Quintal de 100,00 libras;Compra;30;0,66
2012;Mayo;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Compra;95;2,09
2012;Mayo;Manabi;Bolivar;Cacao Seco Fino de Aroma;Quintal de 100,00 libras;Venta;122,45;2,7
2012;Mayo;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Compra;86,5;1,91
2012;Mayo;Manabi;Chone ;Cacao CCN 51 Seco;Quintal de 100,00 libras;Venta;96;2,12
2012;Mayo;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Compra;82,5;1,82
2012;Mayo;Manabi;Chone ;Cacao Seco Mezclado;Quintal de 100,00 libras;Venta;92,5;2,04
